"url","id","label_it","level.@type","level.@value"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/00","00","Posizioni non assicurate per gli infortuni","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/01","01","Volo","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/02","02","Amministrativi","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/03","03","C.R.L.","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/04","04","R.O. a terra senza incarichi","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/10","10","Attivita' particolari","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/11","11","Concessionari di bordo","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/12","12","Personale addetto alle prove in mare","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/13","13","Tecnici ed ispettori","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/14","14","Corsi professionali","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/15","15","Allievi nautici","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/16","16","Appalti servizi di officina","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/20","20","Passeggeri","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/21","21","Ferrovie dello stato","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/30","30","Carico","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/31","31","Ferrovie dello stato","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/40","40","Rimorchiatori","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/50","50","Naviglio ausiliario","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/60","60","Traffico locale","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/61","61","Traffico locale con contratti","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/70","70","Pesca","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/71","71","Pesca oltre gli stretti","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/72","72","Pesca mediterranea","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/73","73","Pesca costiera","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/80","80","Diporto","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/81","81","Diporto con contratti","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/82","82","Diporto a noleggio","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/83","83","Diporto a noleggio iscritto R.I.","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/categoria_naviglio/99","99","Tutte","http://www.w3.org/2001/XMLSchema#integer","1"
