"url","id","label_it","level.@type","level.@value"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/15","15","Esiti mortali nei termini con superstiti","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/16","16","Esiti mortali nei termini senza superstiti","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/17","17","Morte con superstiti itinere","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/18","18","Morte senza superstiti itinere","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/21","21","Difetto occasione di lavoro","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/22","22","Difetto in itinere","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/24","24","Persona non tutelata","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/244","244","Morte non riconducibile all'evento","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/27","27","Attività non tutelata","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/28","28","Carenza di documentazione valida","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/decisione_istruttoria_esito_mortale/300","300","Altre cause di negatività","http://www.w3.org/2001/XMLSchema#integer","1"
