url,id,parent,label_it,label_en,level
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.1,I.1,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Malattie infettive intestinali (A00-A09),Intestinal infectious diseases,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.10,I.10,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Infezioni virali caratterizzate da lesioni della cute e delle membrane mucosa (B00-B09),Viral infections characterized by skin and mucous membrane lesions,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.11,I.11,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Epatite virale (B15-B19),Viral hepatitis ,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.12,I.12,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Malattia da virus dell'immunodeficienza umana [HIV] (B20-B24),Human immunodeficiency virus [HIV] disease,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.13,I.13,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Micosi (B35-B49),Mycoses,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.14,I.14,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Malattie protozoarie (B50-B64),Protozoal diseases ,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.15,I.15,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Elmintiasi (B65-B83),Helminthiases,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.16,I.16,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,"Pediculosi, acariasi ed altre infestazioni (B85-B89)","Pediculosis, acariasis and other infestations",2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.17,I.17,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Sequele di malattie infettive e parassitarie (B90-B94),Sequelae of infectious and parasitic diseases,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.2,I.2,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Tubercolosi (A15-A19),Tuberculosis,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.3,I.3,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Alcune malattie batteriche trasmesse da animali (A20-A28),Certain zoonotic bacterial diseases,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.4,I.4,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Altre malattie batteriche (A30-A49),Other bacterial diseases ,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.5,I.5,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Altre malattie da spirochete (A65-A69),Other spirochaetal diseases,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.6,I.6,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Altre malattie causate da Chlamydiae (A70-A74),Other diseases caused by chlamydiae ,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.7,I.7,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Rickettsiosi (A75-A79),Rickettsioses,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.8,I.8,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Infezioni virali del sistema nervoso centrale (A80-A89),Viral infections of the central nervous system,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/I.9,I.9,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/I,Febbri virali da artropodi e febbri virali emorragiche (A90-A99),Arthropod-borne viral fevers and viral haemorrhagic fevers,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.1,II.1,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,"Tumori maligni del labbro, della cavità orale e della faringe (C00-C14)","Malignant neoplasms of lip, oral cavity and pharynx",2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.10,II.10,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumori maligni dell'apparato urinario (C64-C68),Malignant neoplasms of urinary tract,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.11,II.11,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,"Tumori maligni dell'occhio, dell'encefalo e di altre parti del sistema nervoso centrale (C69-C72)","Malignant neoplasms of eye, brain and other parts of central nervous system",2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.12,II.12,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumore maligno della tiroide e delle altre ghiandole endocrine (C73-C75),Malignant neoplasms of thyroid and other endocrine glands,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.13,II.13,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,"Tumori maligni di sedi mal definite, tumori secondari e di sedi non specificate (C76-C80)","Malignant neoplasms of ill-defined, secondary and unspecified sites",2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.14,II.14,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,"Tumore maligno del tessuto linfatico, ematopoietico e tessuti correlati (C81-C96)","Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.15,II.15,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumori maligni di sedi indipendenti (primitive) multiple (C97),Malignant neoplasms of independent (primary) multiple sites,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.16,II.16,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumori in situ (D00-D09),Tumori in situ (D00-D09,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.17,II.17,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumori benigni (D10-D36),Benign neoplasms ,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.18,II.18,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumori di comportamento incerto o sconosciuto (D37-D48),Neoplasms of uncertain or unknown behaviour,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.2,II.2,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumori maligni degli organi dell'apparato digerente (C15-C26),Malignant neoplasms of digestive organs,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.3,II.3,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumori maligni dell'apparato respiratorio e degli organi intratoracici (C30-C39),Malignant neoplasms of respiratory and intrathoracic organs,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.4,II.4,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumori maligni di osso e cartilagine articolare (C40-C41),Malignant neoplasms of bone and articular cartilage,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.5,II.5,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Melanoma ed altri tumori maligni della cute (C43-C44),Melanoma and other malignant neoplasms of skin,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.6,II.6,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumore maligno di tessuto mesoteliale e dei tessuti molli (C45-C49),Malignant neoplasms of mesothelial and soft tissue,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.7,II.7,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumore maligno della mammella (C50),Malignant neoplasm of breast,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.8,II.8,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumori maligni degli organi genitali femminili (C51-C58),Malignant neoplasms of female genital organs ,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/II.9,II.9,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/II,Tumori maligni degli organi genitali maschili (C60-C63),Malignant neoplasms of male genital organs,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/III.1,III.1,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/III,Anemie nutrizionali (D50-D53),Nutritional anaemias,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/III.2,III.2,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/III,Anemie emolitiche (D55-D59),Haemolytic anaemias,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/III.3,III.3,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/III,Anemia aplastica ed altre anemie (D60-D64),Aplastic and other anaemias,2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/III.4,III.4,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/III,"Difetti della coagulazione, porpore e altre condizioni emorragiche(D65-D69)","Coagulation defects, purpura and other haemorrhagic conditions",2
https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/categoria_ICDX/III.5,III.5,https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/classificazione_ICDX/settore_ICDX/III,Altre malattie del sangue e degli organi ematopoietici (D70-D77),Other diseases of blood and blood-forming organs,2
