url,id,label_it,level
https://w3id.org/italia/controlled-vocabulary/WorkAccident/settore_attivita/codice/0,0,Poste e telecomunicazioni,1
https://w3id.org/italia/controlled-vocabulary/WorkAccident/settore_attivita/codice/1,1,Industria,1
https://w3id.org/italia/controlled-vocabulary/WorkAccident/settore_attivita/codice/2,2,Artigianato,2
https://w3id.org/italia/controlled-vocabulary/WorkAccident/settore_attivita/codice/3,3,Industria-Terziario,2
https://w3id.org/italia/controlled-vocabulary/WorkAccident/settore_attivita/codice/4,4,Altre attività,2
https://w3id.org/italia/controlled-vocabulary/WorkAccident/settore_attivita/codice/5,5,Industria-Speciale,2
https://w3id.org/italia/controlled-vocabulary/WorkAccident/settore_attivita/codice/6,6,Agricoltura,1
https://w3id.org/italia/controlled-vocabulary/WorkAccident/settore_attivita/codice/7,7,Conto stato,1
https://w3id.org/italia/controlled-vocabulary/WorkAccident/settore_attivita/codice/8,8,Domestici,1
https://w3id.org/italia/controlled-vocabulary/WorkAccident/settore_attivita/codice/9,9,Casalinghe,1
