"url","id","label_it","level","parent"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/I","I","Gruppo I - Nuclidi di radiotossicità molto elevata","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/II","II","Gruppo II - Nuclidi di radiotossicità elevata","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/III","III","Gruppo III - Nuclidi di radiotossicità moderata","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/IV","IV","Gruppo IV - Nuclidi di radiotossicità debole","1","nan"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/A37","A37","Argon 37","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/IV"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/A41","A41","Argon 41","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/III"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/Ac227","Ac227","Attinio 227","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/I"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/Ac228","Ac228","Attinio 228","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/II"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/Ag105","Ag105","Argento 105","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/III"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/Ag110m","Ag110m","Argento 110m","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/II"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/Ag111","Ag111","Argento 111","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/III"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/Am241","Am241","Americio 241","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/I"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/Am242","Am242","Americio 242","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/II"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/Am242m","Am242m","Americio 242m","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/I"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/Am243","Am243","Americio 243","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/I"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/Am244","Am244","Americio 244","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/III"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/As73","As73","Arsenico 73","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/III"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/sostanza/As74","As74","Arsenico 74","2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_radioactive_substances/sostanza_radioattiva/gruppo/III"
