"url","id","label_it","level.@type","level.@value"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/0","0","Assente","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/BI","BI","Internazionale breve","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/BN","BN","Internazionale breve (traffico nazionale)","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/CI","CI","Internazionale costiera","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/CN","CN","Nazionale costiera","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/E","E","Estera (comandata all'estero)","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/GI","GI","Grande cabotaggio","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/GN","GN","Gran cabotaggio (traffico nazionale)","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/II","II","Illimitata (internazionale lunga)","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/IN","IN","Internazionale lunga (traffico nazionale)","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/LL","LL","Interna","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/LN","LN","Nazionale locale","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/ND","ND","Diporto","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/NM","NM","Mediterranea (pesca)","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/NN","NN","Nazionale","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/NS","NS","Sportiva (categoria volo)","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/ON","ON","Nazionale litorale","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/PI","PI","Piccolo cabotaggio","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/PN","PN","Piccolo cabotaggio (traffico nazionale)","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc21_self_liquidation/specie_navigazione/SN","SN","Speciale","http://www.w3.org/2001/XMLSchema#integer","1"
