"url","id","parent","label_it","level"
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/A1","A1","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/gruppo/A","Apparecchi di diagnostica installati presso ospedali, cliniche ed istituti universitari, presso istituti, enti di previdenza, assistenza e prevenzione e presso case di cura private",2
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/A2","A2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/gruppo/A","Apparecchi di diagnostica installati presso consorzi antitubercolari",2
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/A3","A3","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/gruppo/A","Apparecchi di diagnostica installati presso studi privati di radiologia",2
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/A4","A4","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/gruppo/A","Apparecchi di diagnostica installati presso studi privati di medici non radiologi che se ne avvalgono quale mezzo ausiliario diagnostico",2
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/A5","A5","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/gruppo/A","Apparecchi di diagnostica installati presso studi privati o centri pubblici di odontoiatria",2
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/A6","A6","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/gruppo/A","Apparecchi di diagnostica installati presso studi privati di medici veterinari",2
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/B1","B1","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/gruppo/B","Apparecchi di terapia installati presso ospedali, cliniche ed istituti universitari, presso istituti, enti di previdenza, assistenza e prevenzione e presso case di cura private",2
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/B2","B2","https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/gruppo/B","Apparecchi di terapia installati presso studi privati",2
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/gruppo/A","A","nan","Apparecchi di diagnostica",1
"https://w3id.org/italia/work-accident/controlled-vocabulary/proc17_rx_devices/tipo_apparecchio_rx/gruppo/B","B","nan","Apparecchi di terapia",1
