"url","id","label_it","level.@type","level.@value"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/-2","-2","Aperta","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/AI","AI","Accolta inps","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/AS","AS","Caso altra sede","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/CO","CO","Comunicazione infortunio","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/FE","FE","Fondo erogato","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/FR","FR","Franchigia","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/MC","MC","Morte con superstiti","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/MM","MM","Intervento eliminato","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/MS","MS","Morte senza superstiti","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/NE","NE","Negativa","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/NN","NN","Sistemazione automatica","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/NO","NO","Negativa","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/PE","PE","Permanente","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/PO","PO","Positiva","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/RS","RS","Regolare senza indenizzo","http://www.w3.org/2001/XMLSchema#integer","1"
"https://w3id.org/italia/work-accident/controlled-vocabulary/adm_serv/tipo_definizione_decisione_istruttoria/TE","TE","Temporanea","http://www.w3.org/2001/XMLSchema#integer","1"
